Date,Resource,Utilization
2026-01-01 00:00:00,cpu_utilization,45.349
2026-01-01 01:00:00,cpu_utilization,32.811
2026-01-01 02:00:00,cpu_utilization,46.54
2026-01-01 03:00:00,cpu_utilization,48.692
2026-01-01 04:00:00,cpu_utilization,27.375
2026-01-01 05:00:00,cpu_utilization,35.445
2026-01-01 06:00:00,cpu_utilization,50.631
2026-01-01 07:00:00,cpu_utilization,51.437
2026-01-01 08:00:00,cpu_utilization,58.51
2026-01-01 09:00:00,cpu_utilization,56.496
2026-01-01 10:00:00,cpu_utilization,74.715
2026-01-01 11:00:00,cpu_utilization,77.648
2026-01-01 12:00:00,cpu_utilization,74.833
2026-01-01 13:00:00,cpu_utilization,85.139
2026-01-01 14:00:00,cpu_utilization,80.492
2026-01-01 15:00:00,cpu_utilization,69.282
2026-01-01 16:00:00,cpu_utilization,77.326
2026-01-01 17:00:00,cpu_utilization,63.863
2026-01-01 18:00:00,cpu_utilization,74.852
2026-01-01 19:00:00,cpu_utilization,63.101
2026-01-01 20:00:00,cpu_utilization,57.381
2026-01-01 21:00:00,cpu_utilization,48.772
2026-01-01 22:00:00,cpu_utilization,59.676
2026-01-01 23:00:00,cpu_utilization,44.95
2026-01-02 00:00:00,cpu_utilization,39.917
2026-01-02 01:00:00,cpu_utilization,38.746
2026-01-02 02:00:00,cpu_utilization,45.226
2026-01-02 03:00:00,cpu_utilization,44.523
2026-01-02 04:00:00,cpu_utilization,46.717
2026-01-02 05:00:00,cpu_utilization,49.741
2026-01-02 06:00:00,cpu_utilization,67.173
2026-01-02 07:00:00,cpu_utilization,51.148
2026-01-02 08:00:00,cpu_utilization,54.978
2026-01-02 09:00:00,cpu_utilization,57.243
2026-01-02 10:00:00,cpu_utilization,73.04
2026-01-02 11:00:00,cpu_utilization,80.89
2026-01-02 12:00:00,cpu_utilization,73.825
2026-01-02 13:00:00,cpu_utilization,69.831
2026-01-02 14:00:00,cpu_utilization,70.588
2026-01-02 15:00:00,cpu_utilization,81.793
2026-01-02 16:00:00,cpu_utilization,80.754
2026-01-02 17:00:00,cpu_utilization,76.311
2026-01-02 18:00:00,cpu_utilization,62.932
2026-01-02 19:00:00,cpu_utilization,65.79
2026-01-02 20:00:00,cpu_utilization,60.225
2026-01-02 21:00:00,cpu_utilization,56.401
2026-01-02 22:00:00,cpu_utilization,57.299
